epoch,accuracy,loss,val_accuracy,val_loss
0,0.3650705814361572,1.3338912725448608,0.47838616371154785,1.278458595275879
1,0.6260725259780884,1.0137983560562134,0.6051872968673706,0.9671238660812378
2,0.7849432826042175,0.6025921702384949,0.7031700015068054,0.781400740146637
3,0.8466648459434509,0.4160977005958557,0.6916426420211792,0.8219802379608154
4,0.8796014189720154,0.32659968733787537,0.6974063515663147,0.84897381067276
5,0.9050650596618652,0.2644267678260803,0.6887608170509338,0.8932433724403381
6,0.924993097782135,0.21822760999202728,0.6887608170509338,0.9138328433036804
7,0.9393855333328247,0.18317551910877228,0.6714697480201721,0.986860454082489
8,0.947135329246521,0.1583085060119629,0.6887608170509338,1.0036712884902954
9,0.9606974720954895,0.13750499486923218,0.6887608170509338,1.076940894126892
10,0.9665098190307617,0.11672855168581009,0.6772334575653076,1.1438630819320679
11,0.9670633673667908,0.11118322610855103,0.6628242135047913,1.1582831144332886
12,0.9703847169876099,0.10059027373790741,0.6685879230499268,1.2765998840332031
13,0.972875714302063,0.09147708863019943,0.680115282535553,1.2321791648864746
14,0.972045361995697,0.08773980289697647,0.6945244669914246,1.3337725400924683
15,0.9731525182723999,0.08903375267982483,0.6657060384750366,1.3436082601547241
16,0.9739828109741211,0.0792495459318161,0.6772334575653076,1.3397341966629028
17,0.9748131632804871,0.07797779142856598,0.6916426420211792,1.37656831741333
18,0.9748131632804871,0.08006278425455093,0.6887608170509338,1.4150913953781128
19,0.9773041605949402,0.07287198305130005,0.6858789920806885,1.4338500499725342
20,0.9759202599525452,0.07296436280012131,0.6772334575653076,1.460184097290039
21,0.977027416229248,0.07107633352279663,0.6829971075057983,1.4287251234054565
22,0.977027416229248,0.06954196095466614,0.6887608170509338,1.4631894826889038
23,0.9775809645652771,0.0639580637216568,0.6829971075057983,1.5236234664916992
24,0.9778577089309692,0.06454158574342728,0.680115282535553,1.507295846939087
